scenario,strategy,seed,round,param_i,param_j,is_diagonal,cov_scaled,corr,estimate_i_natural,sigma_i_scaled,bound_active_i
S3_transport,B,7,1,Ea1_J,Ea2_J,0,-499.93405218006734,-4.5802040965554385e-11,70660.38476344553,3303801.4813354737,0
S3_transport,B,7,1,Ea1_J,K1_ref,0,6564.939625988122,6.012947869404442e-10,70660.38476344553,3303801.4813354737,0
S3_transport,B,7,1,Ea1_J,K2_ref,0,-0.09394343368149728,-8.604450331256046e-15,70660.38476344553,3303801.4813354737,0
S3_transport,B,7,1,k2_ref,k2_ref,1,5838082689.475224,1.0000000000000002,3.855982507009699e-05,76407.34709093899,0
S3_transport,B,7,1,k2_ref,Ea2_J,0,251668495425.1033,0.9969647134312754,3.855982507009699e-05,76407.34709093899,0
S3_transport,B,7,1,k2_ref,K1_ref,0,44095875.95107653,0.00017463588881920535,3.855982507009699e-05,76407.34709093899,0
S3_transport,B,7,1,k2_ref,K2_ref,0,-1513688.3968798313,-5.994762840759946e-06,3.855982507009699e-05,76407.34709093899,0
S3_transport,B,7,1,Ea2_J,Ea2_J,1,10915104279709.922,1.0,119832.07112790534,3303801.489150025,0
S3_transport,B,7,1,Ea2_J,K1_ref,0,-1016717.6133530773,-9.312301926336248e-08,119832.07112790534,3303801.489150025,0
S3_transport,B,7,1,Ea2_J,K2_ref,0,34901.07890935377,3.1966534275360687e-09,119832.07112790534,3303801.489150025,0
