x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
2.73000000e-02,2.05837151e+01,2.46085493e-02,9.85990878e-02,1.26792363e-01,3.52183813e-01,5.08498700e+01,0.00000000e+00,9.01565803e-01,3.94396351e-01,5.07169451e-01
2.76000000e-02,2.08099097e+01,2.40041122e-02,9.78326704e-02,1.28163217e-01,3.54159105e-01,5.08478947e+01,0.00000000e+00,9.03983551e-01,3.91330682e-01,5.12652870e-01
2.79000000e-02,2.10361044e+01,2.34149684e-02,9.70631037e-02,1.29521928e-01,3.56106960e-01,5.08459469e+01,0.00000000e+00,9.06340127e-01,3.88252415e-01,5.18087712e-01
2.82000000e-02,2.12622991e+01,2.28407253e-02,9.62908182e-02,1.30868457e-01,3.58027731e-01,5.08440261e+01,0.00000000e+00,9.08637099e-01,3.85163273e-01,5.23473826e-01
2.85000000e-02,2.14884938e+01,2.22810004e-02,9.55162279e-02,1.32202772e-01,3.59921771e-01,5.08421321e+01,0.00000000e+00,9.10875998e-01,3.82064912e-01,5.28811087e-01
2.88000000e-02,2.17146884e+01,2.17354212e-02,9.47397308e-02,1.33524848e-01,3.61789427e-01,5.08402644e+01,0.00000000e+00,9.13058315e-01,3.78958923e-01,5.34099392e-01
2.91000000e-02,2.19408831e+01,2.12036248e-02,9.39617094e-02,1.34834666e-01,3.63631041e-01,5.08384228e+01,0.00000000e+00,9.15185501e-01,3.75846838e-01,5.39338663e-01
2.94000000e-02,2.21670778e+01,2.06852575e-02,9.31825314e-02,1.36132211e-01,3.65446954e-01,5.08366069e+01,0.00000000e+00,9.17258970e-01,3.72730126e-01,5.44528844e-01
2.97000000e-02,2.23932724e+01,2.01799749e-02,9.24025500e-02,1.37417475e-01,3.67237500e-01,5.08348163e+01,0.00000000e+00,9.19280100e-01,3.69610200e-01,5.49669900e-01
3.00000000e-02,2.26194671e+01,1.96874415e-02,9.16221041e-02,1.38690454e-01,3.69003013e-01,5.08330508e+01,0.00000000e+00,9.21250234e-01,3.66488416e-01,5.54761818e-01
3.03000000e-02,2.28456618e+01,1.92073304e-02,9.08415192e-02,1.39951150e-01,3.70743820e-01,5.08313100e+01,0.00000000e+00,9.23170678e-01,3.63366077e-01,5.59804602e-01
3.06000000e-02,2.30718564e+01,1.87393233e-02,9.00611075e-02,1.41199569e-01,3.72460246e-01,5.08295936e+01,0.00000000e+00,9.25042707e-01,3.60244430e-01,5.64798277e-01
3.09000000e-02,2.32980511e+01,1.82831098e-02,8.92811684e-02,1.42435722e-01,3.74152612e-01,5.08279012e+01,0.00000000e+00,9.26867561e-01,3.57124674e-01,5.69742887e-01
3.12000000e-02,2.35242458e+01,1.78383879e-02,8.85019892e-02,1.43659623e-01,3.75821235e-01,5.08262326e+01,0.00000000e+00,9.28646449e-01,3.54007957e-01,5.74638492e-01
3.15000000e-02,2.37504405e+01,1.74048631e-02,8.77238448e-02,1.44871292e-01,3.77466429e-01,5.08245874e+01,0.00000000e+00,9.30380548e-01,3.50895379e-01,5.79485169e-01
3.18000000e-02,2.39766351e+01,1.69822487e-02,8.69469987e-02,1.46070753e-01,3.79088504e-01,5.08229653e+01,0.00000000e+00,9.32071005e-01,3.47787995e-01,5.84283011e-01
3.21000000e-02,2.42028298e+01,1.65702653e-02,8.61717032e-02,1.47258032e-01,3.80687766e-01,5.08213661e+01,0.00000000e+00,9.33718939e-01,3.44686813e-01,5.89032126e-01
3.24000000e-02,2.44290245e+01,1.61686407e-02,8.53981996e-02,1.48433160e-01,3.82264519e-01,5.08197893e+01,0.00000000e+00,9.35325437e-01,3.41592799e-01,5.93732639e-01
3.27000000e-02,2.46552191e+01,1.57771100e-02,8.46267188e-02,1.49596171e-01,3.83819061e-01,5.08182348e+01,0.00000000e+00,9.36891560e-01,3.38506875e-01,5.98384685e-01
3.30000000e-02,2.48814138e+01,1.53954147e-02,8.38574814e-02,1.50747104e-01,3.85351689e-01,5.08167022e+01,0.00000000e+00,9.38418341e-01,3.35429925e-01,6.02988416e-01
3.33000000e-02,2.51076085e+01,1.50233033e-02,8.30906981e-02,1.51885999e-01,3.86862695e-01,5.08151911e+01,0.00000000e+00,9.39906787e-01,3.32362792e-01,6.07543995e-01
3.36000000e-02,2.53338032e+01,1.46605307e-02,8.23265701e-02,1.53012899e-01,3.88352369e-01,5.08137015e+01,0.00000000e+00,9.41357877e-01,3.29306280e-01,6.12051597e-01
3.39000000e-02,2.55599978e+01,1.43068580e-02,8.15652894e-02,1.54127853e-01,3.89820995e-01,5.08122328e+01,0.00000000e+00,9.42772568e-01,3.26261158e-01,6.16511410e-01
3.42000000e-02,2.57861925e+01,1.39620528e-02,8.08070390e-02,1.55230908e-01,3.91268855e-01,5.08107850e+01,0.00000000e+00,9.44151789e-01,3.23228156e-01,6.20923633e-01
3.45000000e-02,2.60123872e+01,1.36258884e-02,8.00519933e-02,1.56322118e-01,3.92696230e-01,5.08093576e+01,0.00000000e+00,9.45496446e-01,3.20207973e-01,6.25288473e-01
3.48000000e-02,2.62385818e+01,1.32981441e-02,7.93003182e-02,1.57401538e-01,3.94103394e-01,5.08079505e+01,0.00000000e+00,9.46807424e-01,3.17201273e-01,6.29606151e-01
3.51000000e-02,2.64647765e+01,1.29786047e-02,7.85521718e-02,1.58469224e-01,3.95490619e-01,5.08065632e+01,0.00000000e+00,9.48085581e-01,3.14208687e-01,6.33876894e-01
3.54000000e-02,2.66909712e+01,1.26670608e-02,7.78077040e-02,1.59525235e-01,3.96858174e-01,5.08051957e+01,0.00000000e+00,9.49331757e-01,3.11230816e-01,6.38100941e-01
3.57000000e-02,2.69171659e+01,1.23633083e-02,7.70670574e-02,1.60569634e-01,3.98206326e-01,5.08038475e+01,0.00000000e+00,9.50546767e-01,3.08268230e-01,6.42278537e-01
3.60000000e-02,2.71433605e+01,1.20671484e-02,7.63303672e-02,1.61602484e-01,3.99535336e-01,5.08025185e+01,0.00000000e+00,9.51731406e-01,3.05321469e-01,6.46409938e-01
3.63000000e-02,2.73695552e+01,1.17783873e-02,7.55977616e-02,1.62623851e-01,4.00845464e-01,5.08012084e+01,0.00000000e+00,9.52886451e-01,3.02391046e-01,6.50495405e-01
3.66000000e-02,2.75957499e+01,1.14968364e-02,7.48693618e-02,1.63633802e-01,4.02136965e-01,5.07999169e+01,0.00000000e+00,9.54012654e-01,2.99477447e-01,6.54535207e-01
3.69000000e-02,2.78219445e+01,1.12223118e-02,7.41452825e-02,1.64632406e-01,4.03410094e-01,5.07986438e+01,0.00000000e+00,9.55110753e-01,2.96581130e-01,6.58529623e-01
3.72000000e-02,2.80481392e+01,1.09546345e-02,7.34256322e-02,1.65619733e-01,4.04665099e-01,5.07973887e+01,0.00000000e+00,9.56181462e-01,2.93702529e-01,6.62478933e-01
3.75000000e-02,2.82743339e+01,1.06936299e-02,7.27105129e-02,1.66595857e-01,4.05902227e-01,5.07961516e+01,0.00000000e+00,9.57225480e-01,2.90842051e-01,6.66383429e-01
3.78000000e-02,2.85005286e+01,1.04391281e-02,7.20000209e-02,1.67560851e-01,4.07121723e-01,5.07949321e+01,0.00000000e+00,9.58243488e-01,2.88000083e-01,6.70243404e-01
3.81000000e-02,2.87267232e+01,1.01909635e-02,7.12942466e-02,1.68514790e-01,4.08323826e-01,5.07937300e+01,0.00000000e+00,9.59236146e-01,2.85176986e-01,6.74059160e-01
3.84000000e-02,2.89529179e+01,9.94897477e-03,7.05932750e-02,1.69457750e-01,4.09508775e-01,5.07925451e+01,0.00000000e+00,9.60204101e-01,2.82373100e-01,6.77831001e-01
3.87000000e-02,2.91791126e+01,9.71300476e-03,6.98971857e-02,1.70389810e-01,4.10676805e-01,5.07913770e+01,0.00000000e+00,9.61147981e-01,2.79588743e-01,6.81559238e-01
3.90000000e-02,2.94053072e+01,9.48290035e-03,6.92060531e-02,1.71311047e-01,4.11828146e-01,5.07902257e+01,0.00000000e+00,9.62068399e-01,2.76824213e-01,6.85244186e-01
3.93000000e-02,2.96315019e+01,9.25851236e-03,6.85199466e-02,1.72221541e-01,4.12963029e-01,5.07890908e+01,0.00000000e+00,9.62965951e-01,2.74079786e-01,6.88886164e-01
3.96000000e-02,2.98576966e+01,9.03969549e-03,6.78389308e-02,1.73121374e-01,4.14081678e-01,5.07879722e+01,0.00000000e+00,9.63841218e-01,2.71355723e-01,6.92485495e-01
3.99000000e-02,3.00838913e+01,8.82630814e-03,6.71630657e-02,1.74010626e-01,4.15184318e-01,5.07868695e+01,0.00000000e+00,9.64694767e-01,2.68652263e-01,6.96042504e-01
4.02000000e-02,3.03100859e+01,8.61821239e-03,6.64924069e-02,1.74889381e-01,4.16271168e-01,5.07857827e+01,0.00000000e+00,9.65527150e-01,2.65969627e-01,6.99557523e-01
