x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
3.72000000e-02,2.80481392e+01,1.68591651e-01,7.30460222e-02,8.36232665e-03,8.97706755e-02,5.11122832e+01,0.00000000e+00,3.25633396e-01,2.92184089e-01,3.34493066e-02
3.75000000e-02,2.82743339e+01,1.68057663e-01,7.34580501e-02,8.48428726e-03,9.04266246e-02,5.11116272e+01,0.00000000e+00,3.27769349e-01,2.93832200e-01,3.39371491e-02
3.78000000e-02,2.85005286e+01,1.67525381e-01,7.38676907e-02,8.60692817e-03,9.10815470e-02,5.11109723e+01,0.00000000e+00,3.29898475e-01,2.95470763e-01,3.44277127e-02
3.81000000e-02,2.87267232e+01,1.66994801e-01,7.42749535e-02,8.73024533e-03,9.17354442e-02,5.11103184e+01,0.00000000e+00,3.32020795e-01,2.97099814e-01,3.49209813e-02
3.84000000e-02,2.89529179e+01,1.66465917e-01,7.46798481e-02,8.85423476e-03,9.23883176e-02,5.11096655e+01,0.00000000e+00,3.34136331e-01,2.98719392e-01,3.54169390e-02
3.87000000e-02,2.91791126e+01,1.65938724e-01,7.50823837e-02,8.97889245e-03,9.30401686e-02,5.11090137e+01,0.00000000e+00,3.36245105e-01,3.00329535e-01,3.59155698e-02
3.90000000e-02,2.94053072e+01,1.65413216e-01,7.54825698e-02,9.10421443e-03,9.36909986e-02,5.11083628e+01,0.00000000e+00,3.38347137e-01,3.01930279e-01,3.64168577e-02
3.93000000e-02,2.96315019e+01,1.64889388e-01,7.58804156e-02,9.23019674e-03,9.43408091e-02,5.11077130e+01,0.00000000e+00,3.40442449e-01,3.03521662e-01,3.69207870e-02
3.96000000e-02,2.98576966e+01,1.64367234e-01,7.62759306e-02,9.35683544e-03,9.49896015e-02,5.11070642e+01,0.00000000e+00,3.42531064e-01,3.05103722e-01,3.74273418e-02
3.99000000e-02,3.00838913e+01,1.63846749e-01,7.66691239e-02,9.48412660e-03,9.56373771e-02,5.11064165e+01,0.00000000e+00,3.44613002e-01,3.06676496e-01,3.79365064e-02
4.02000000e-02,3.03100859e+01,1.63327929e-01,7.70600048e-02,9.61206630e-03,9.62841374e-02,5.11057697e+01,0.00000000e+00,3.46688285e-01,3.08240019e-01,3.84482652e-02
