T_trend_r,affected_region,affected_species,alpha_round_threshold,chi2_over_dof,p_bootstrap,p_combined_best_model,p_component_T_trend,p_component_chi2,p_component_species_bias,p_component_worst_cell,p_component_z_autocorr,p_model_irreversible,p_model_rev-dilute,p_model_rev-pitzer,rejected_at_threshold,round,round_first_detected,scenario,seed,species_bias_z_AcOH,species_bias_z_EG,species_bias_z_EGDA,species_bias_z_EGMA,state,strategy,trigger_reasons,z_autocorr_r
0.14371965838715378,,,0.00625,1.0249903076047235,nan,0.9102383377686191,0.802072953282468,0.3825267083176768,0.9794287539677214,0.9680884771563075,0.8315702314539537,,,0.9102383377686191,0,6,-1,S1_ideal,4,-0.4940332527930925,0.20085709744557373,0.37937807097787435,0.33775708945927696,NORMAL_LEARNING,F,,-0.06534618579444634
0.3587955206870989,,,0.00625,0.9815525058370519,nan,0.9508720902087494,0.45264932577354366,0.5748505348438959,0.9907527756217316,0.9757558875692279,0.8568984798673294,,,0.9508720902087494,0,7,-1,S1_ideal,4,-0.3989918263060299,-0.11996848161731097,-0.1580284331011411,-0.05679063660937896,NORMAL_LEARNING,F,,-0.0671824375325681
0.35477382180687045,,,0.00625,0.9977407165363625,nan,0.9266151761254848,0.4069091127044784,0.5006854288767215,0.9978097199279278,0.9849308404613812,0.8958491888971576,,,0.9266151761254848,0,8,-1,S1_ideal,4,-0.24348749098495187,-0.2745448602158156,-0.19000872105882124,-0.07785869619408489,NORMAL_LEARNING,F,,-0.07414304914408748
0.0,,,0.00625,0.8873350264507224,nan,0.32676746697414316,1.0,0.6559672760373877,0.46997988725021644,0.46997988725021644,0.0760828708019985,,,0.32676746697414316,0,1,-1,S1_ideal,5,1.2557067978551903,1.451084595506558,1.0059111812661177,-0.7760657895622828,NORMAL_LEARNING,F,,0.23865390173636697
0.0,,,0.00625,0.8419277022967504,nan,0.48213727210671553,1.0,0.8319356135663486,0.3476704749401124,0.7260220920718499,0.12331630190459164,,,0.48213727210671553,0,2,-1,S1_ideal,5,1.6386036785708087,0.6022908571791935,0.34338494679026066,-1.1616996983320964,NORMAL_LEARNING,F,,0.1365384658688986
0.0,,,0.00625,0.817624335720259,nan,0.6495134119256292,1.0,0.9230582816843004,0.1891616509030044,0.4323671804849015,0.2461224350224463,,,0.6495134119256292,0,3,-1,S1_ideal,5,1.9508799721717869,0.7760422142275917,0.6847143595298232,-0.1433931175862061,NORMAL_LEARNING,F,,0.06608184922460779
0.0,,,0.00625,0.8315949870658964,nan,0.7315384774565756,1.0,0.9371628174803578,0.23126543345980255,0.5586974252314125,0.402468849389169,,,0.7315384774565756,0,4,-1,S1_ideal,5,1.8547124071620553,0.16441677761903395,0.45251149160521376,-0.33108497606128495,NORMAL_LEARNING,F,,0.020580159573597823
0.0,,,0.00625,0.9298340776647576,nan,0.4065427664457024,1.0,0.7497989793574615,0.33569680235782673,0.09909730611456846,0.13188702804234304,,,0.4065427664457024,0,5,-1,S1_ideal,5,1.6585826189971835,-0.27727769490923654,0.4071792811914773,-0.4734673348034418,NORMAL_LEARNING,F,,0.08329467349471449
-0.6475728527488664,misfit correlated with temperature,,0.00625,0.9684679011040758,nan,0.5128022461371943,0.18168103571367267,0.6231709052660148,0.8591833246300098,0.1699651941456074,0.13395380993018652,,,0.5128022461371943,0,6,-1,S1_ideal,5,0.864307481888995,-0.18302590978721123,0.08961498197713039,-0.16763321882377188,NORMAL_LEARNING,F,,0.07538263500709863
-0.653071720176995,misfit correlated with temperature,,0.00625,0.9163514606063217,nan,0.39318047628728736,0.11845948984697934,0.8362367287399006,0.9747257791110298,0.3012435864128996,0.09507641148825174,,,0.39318047628728736,0,7,-1,S1_ideal,5,0.5225625707895392,-0.14235924381330795,0.0159051840588419,-0.19985146646691293,NORMAL_LEARNING,F,,0.08253025337587136
-0.3957648362472587,,,0.00625,0.935872836207656,nan,0.5315999345782645,0.3492441203370382,0.7865790316806284,0.9578586244518851,0.4335789039325699,0.1407423855207992,,,0.5315999345782645,0,8,-1,S1_ideal,5,0.6023854150975128,0.16046508313183053,0.535321822469526,0.1627246082195178,NORMAL_LEARNING,F,,0.06346223936700202
0.0,,,0.00625,1.1526335499707319,nan,0.759985550241702,1.0,0.24829493294351565,0.798567668110208,0.798567668110208,0.5304281229325045,,,0.759985550241702,0,1,-1,S1_ideal,6,-0.23139061390733906,0.27652878680257437,-0.6566956569457821,-0.9739818027318629,NORMAL_LEARNING,F,,-0.012724349205868426
0.0,,,0.00625,0.9495077498524079,nan,0.9837028828722352,1.0,0.6015615353451278,0.6610389024994436,0.8950994329816332,0.5610428197805939,,,0.9837028828722352,0,2,-1,S1_ideal,6,-1.1825758463584266,0.7788260986288902,-0.16829357583513366,-0.27807733148029584,NORMAL_LEARNING,F,,-0.018103544225624404
0.0,,,0.00625,1.0335634385530066,nan,0.9113939098338224,1.0,0.3841248023504247,0.7034253051533335,0.6322042017001006,0.47359228557568217,,,0.9113939098338224,0,3,-1,S1_ideal,6,0.2897977722521628,1.1215852897435308,0.6671717047901103,0.4060945916248994,NORMAL_LEARNING,F,,0.006374210474879672
0.6371525832166839,misfit correlated with temperature,,0.00625,1.0275196850882216,nan,0.9124061780972323,0.4512301956835586,0.3908069864846885,0.7865873029094219,0.3855384738536416,0.5695147213989216,,,0.9124061780972323,0,4,-1,S1_ideal,6,-0.28819290530830993,0.99380234669594,0.059236652498204874,0.07323072581182538,NORMAL_LEARNING,F,,-0.014594901507790114
0.27132157781567995,,,0.00625,1.0183814280644852,nan,0.39385825634350236,0.6939049528569367,0.4153747829418263,0.8273742460962837,0.09527865065338548,0.42306911766894617,,,0.39385825634350236,0,5,-1,S1_ideal,6,-0.9241261557159864,0.5158550125654374,-0.4075082514406641,-0.2705936337382564,NORMAL_LEARNING,F,,0.01446348988829851
0.36694862060759637,,,0.00625,1.0301729662178205,nan,0.3130258555603642,0.5049937593668947,0.36171032552272925,0.9667136482383436,0.07234160665548117,0.2714220820856007,,,0.3130258555603642,0,6,-1,S1_ideal,6,-0.5638391093265988,0.47579298639121104,-0.05769872803339069,-0.10171995258363768,NORMAL_LEARNING,F,,0.04140438575343703
0.36124396432316247,,,0.00625,1.0095209729775116,nan,0.5954966443207796,0.4492705743273483,0.44450798142414144,0.879278067749538,0.16558053658707095,0.28620296338996587,,,0.5954966443207796,0,7,-1,S1_ideal,6,-0.8229251137619213,0.6237597217342188,-0.05213690047330225,-0.08378119242894835,NORMAL_LEARNING,F,,0.0355608957453332
