scenario_id,catalyst,geometry,temp_C,C_EGDA_feed_M,C_catalyst_feed_M,Q_total_mL_min,tau_s,C_EGMA_peak_M,Y_EGMA_peak,x_peak_m,tau_peak_s,x_peak_over_L,tau_peak_over_tau_out,peak_is_interior,peak_is_at_outlet,remaining_length_after_peak_m,remaining_time_after_peak_s,EGMA_increasing_at_outlet,peak95_start_x_m,peak95_end_x_m,peak95_width_m,peak95_width_over_L,peak95_start_tau_s,peak95_end_tau_s,peak95_width_s
ac66c2c5e1e34cd0,H2SO4,A,25,0.5,0.4,6,7.53982236862,8.93910364e-05,0.000357564146,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
e991c939a494b0c5,H2SO4,A,25,0.5,0.4,8,5.65486677646,6.70476261e-05,0.000268190505,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
cd39a6dea79fb34f,H2SO4,A,25,0.5,0.4,10,4.52389342117,5.36401885e-05,0.000214560754,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
7145607916af6d24,H2SO4,A,25,0.1,0.5,2,22.6194671058,6.8096397e-05,0.00136192794,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
026baf383eac3cc3,H2SO4,A,25,0.1,0.5,4,11.3097335529,3.40649954e-05,0.000681299908,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
d5f16f6a4e62aab8,H2SO4,A,25,0.1,0.5,6,7.53982236862,2.27137308e-05,0.000454274616,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
5d62a6769abf5211,H2SO4,A,25,0.1,0.5,8,5.65486677646,1.70366985e-05,0.00034073397,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
68b1bdee8c2e68c8,H2SO4,A,25,0.1,0.5,10,4.52389342117,1.3630031e-05,0.000272600621,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
9102b997b6fccf59,H2SO4,A,25,0.2,0.5,2,22.6194671058,0.000135199192,0.00135199192,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
ff737c5637b2f5e0,H2SO4,A,25,0.2,0.5,4,11.3097335529,6.76327224e-05,0.000676327224,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
6a92d40f048c8814,H2SO4,A,25,0.2,0.5,6,7.53982236862,4.50958454e-05,0.000450958454,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
b443b29cb4e9b26c,H2SO4,A,25,0.2,0.5,8,5.65486677646,3.38246458e-05,0.000338246458,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
8ea81386f6e9771c,H2SO4,A,25,0.2,0.5,10,4.52389342117,2.70610424e-05,0.000270610424,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
054444b43ef36d7e,H2SO4,A,25,0.3,0.5,2,22.6194671058,0.000201308366,0.00134205577,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
